Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000241860,AL627309.5,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000237491,LINC01409,0.023463667177937568,-3.436376633007788,0.2811172035671995,0.222563088704821,3.436376633007788,0.2811172035671995
ENSG00000228794,LINC01128,0.08392773259800745,-0.899709689327413,0.8551728111638605,0.1112815443524105,0.899709689327413,0.8551728111638605
ENSG00000225880,LINC00115,0.011731833588968784,-3.06198111822629,0.5024260568393001,0.05564077217620525,3.06198111822629,0.5024260568393001
ENSG00000230368,FAM41C,0.0054146924256779005,-3.0619811182262904,1.0,0.0,3.0619811182262904,1.0
ENSG00000187634,SAMD11,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000188976,NOC2L,0.2346366717793757,-1.300861662351307,0.4420379729062083,0.5564077217620526,1.300861662351307,0.4420379729062083
ENSG00000187961,KLHL17,0.01804897475225967,-2.477018617505134,0.6758521379046727,0.05564077217620525,2.477018617505134,0.6758521379046727
ENSG00000187583,PLEKHN1,0.0027073462128389503,-3.869336040283894,1.0,0.0,3.869336040283894,1.0
ENSG00000188290,HES4,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000187608,ISG15,0.2400513642050536,-0.393602609317496,0.8341163954297779,0.2782038608810263,0.393602609317496,0.8341163954297779
ENSG00000224969,AL645608.1,0.0018048974752259668,-4.284373539562738,1.0,0.0,4.284373539562738,1.0
ENSG00000188157,AGRN,0.006317141163290884,-2.869336040283894,1.0,0.0,2.869336040283894,1.0
ENSG00000131591,C1orf159,0.04602488561826216,-2.976251244200406,0.29686632719696776,0.3338446330572315,2.976251244200406,0.29686632719696776
ENSG00000162571,TTLL10,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000186891,TNFRSF18,0.02617101339077652,-1.9624454446753758,0.7088569591246177,0.05564077217620525,1.9624454446753758,0.7088569591246177
ENSG00000186827,TNFRSF4,0.08483018133562044,-1.621408526840309,0.5065007870286261,0.222563088704821,1.621408526840309,0.5065007870286261
ENSG00000078808,SDF4,0.380833367272679,0.04782289077845148,1.0,0.3338446330572315,-0.04782289077845148,1.0
ENSG00000176022,B3GALT6,0.13175751569149557,1.3303363045524699,1.0,0.0,-1.3303363045524699,1.0
ENSG00000184163,C1QTNF12,0.0018048974752259668,-5.284373539562738,0.32893280615457565,0.05564077217620525,5.284373539562738,0.32893280615457565
ENSG00000260179,AL162741.1,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000160087,UBE2J2,0.22200238945279394,0.07903119130078373,1.0,0.16692231652861575,-0.07903119130078373,1.0
ENSG00000162572,SCNN1D,0.0045122436880649175,-3.284373539562738,1.0,0.0,3.284373539562738,1.0
ENSG00000131584,ACAP3,0.056854270469617954,-2.1912641351712563,0.3635437724652605,0.222563088704821,2.1912641351712563,0.3635437724652605
ENSG00000169972,PUSL1,0.07039100153381271,-0.565555292106791,1.0,0.05564077217620525,0.565555292106791,1.0
ENSG00000127054,INTS11,0.3122472632140923,-0.4305441877056333,0.7839492625961898,0.3894854052334368,0.4305441877056333,0.7839492625961898
ENSG00000224051,CPTP,0.1254403745282047,1.2599469766610722,1.0,0.0,-1.2599469766610722,1.0
ENSG00000169962,TAS1R3,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000107404,DVL1,0.062268962895295855,-0.7400530233389273,1.0,0.05564077217620525,0.7400530233389273,1.0
ENSG00000162576,MXRA8,0.04061019319258426,-1.9307365849480376,0.5653248248672973,0.1112815443524105,1.9307365849480376,0.5653248248672973
ENSG00000175756,AURKAIP1,0.5631280122705017,0.6110214172079513,1.0,0.3338446330572315,-0.6110214172079513,1.0
ENSG00000221978,CCNL2,0.27524686497195994,-2.4699291927188147,0.2811172035671995,1.557941620933747,2.4699291927188147,0.2811172035671995
ENSG00000224870,MRPL20-AS1,0.109196297251171,0.06140129727899213,1.0,0.05564077217620525,-0.06140129727899213,1.0
ENSG00000242485,MRPL20,0.5586157685824368,0.5994334429327393,1.0,0.3338446330572315,-0.5994334429327393,1.0
ENSG00000235098,ANKRD65,0.0018048974752259668,-4.284373539562738,1.0,0.0,4.284373539562738,1.0
ENSG00000225285,LINC01770,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000215915,ATAD3C,0.009024487376129835,-2.4099044216465977,1.0,0.0,2.4099044216465977,1.0
ENSG00000160072,ATAD3B,0.06948855279619973,-2.583933821421646,0.3007611703906209,0.3894854052334368,2.583933821421646,0.3007611703906209
ENSG00000197785,ATAD3A,0.045122436880649174,-0.19691069831239894,1.0,0.0,0.19691069831239894,1.0
ENSG00000205090,TMEM240,0.0054146924256779005,-3.0619811182262904,1.0,0.0,3.0619811182262904,1.0
ENSG00000160075,SSU72,0.8230332487030408,-0.20478999174198453,0.8309615921947738,0.9458931269954893,0.20478999174198453,0.8309615921947738
ENSG00000215014,AL645728.1,0.0379028469797453,-2.4430712855817958,0.39832007737238206,0.16692231652861575,2.4430712855817958,0.39832007737238206
ENSG00000228594,FNDC10,0.031585705816454424,-0.699411038841582,1.0,0.0,0.699411038841582,1.0
ENSG00000286989,AL691432.4,0.0027073462128389503,-3.869336040283894,1.0,0.0,3.869336040283894,1.0
ENSG00000272106,AL691432.2,0.033390603291680386,-2.2063710275614645,0.5065007870286261,0.1112815443524105,2.2063710275614645,0.5065007870286261
ENSG00000197530,MIB2,0.19131913237395248,-1.1346264200580558,0.5325735933349303,0.3894854052334368,1.1346264200580558,0.5325735933349303
ENSG00000189409,MMP23B,0.01804897475225967,-1.4770186175051343,1.0,0.0,1.4770186175051343,1.0
ENSG00000248333,CDK11B,0.10468405356310607,-1.9989713207004898,0.3414740663610805,0.3894854052334368,1.9989713207004898,0.3414740663611582
ENSG00000272004,FO704657.1,0.0018048974752259668,-4.284373539562738,1.0,0.0,4.284373539562738,1.0
ENSG00000189339,SLC35E2B,0.08031793764755553,-2.8369145625915166,0.2811172035671995,0.5564077217620526,2.8369145625915166,0.2811172035671995
ENSG00000008128,CDK11A,0.13897710559239945,-2.4005665570672607,0.2811172035671995,0.7233300382906682,2.4005665570672607,0.2811172035671995
ENSG00000215790,SLC35E2A,0.05414692425677901,-3.2605267976083705,0.2811172035671995,0.5007669495858472,3.2605267976083705,0.2811172035671995
ENSG00000008130,NADK,0.1028791560878801,-1.0238459893395189,0.7161710302693721,0.16692231652861575,1.0238459893395189,0.7161710302693721
ENSG00000078369,GNB1,0.45393171501933066,-0.061981118226290155,0.9786268262538421,0.445126177409642,0.061981118226290155,0.9786268262538421
ENSG00000231050,AL109917.1,0.0045122436880649175,-3.284373539562738,1.0,0.0,3.284373539562738,1.0
ENSG00000178821,TMEM52,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000187730,GABRD,0.0018048974752259668,-4.284373539562738,1.0,0.0,4.284373539562738,1.0
ENSG00000067606,PRKCZ,0.06858610405858674,-1.6025494995889926,0.5513834314014352,0.16692231652861575,1.6025494995889926,0.5513834314014352
ENSG00000271806,AL590822.2,0.0018048974752259668,-4.284373539562738,1.0,0.0,4.284373539562738,1.0
ENSG00000182873,PRKCZ-AS1,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
